Picun Leufu	-39.52351	-69.279663
Napier	-39.48333	176.916672
Eltham	-39.429169	174.300003
Lamarque	-39.423038	-65.70208
Loncoche	-39.366669	-72.633331
Fray Luis Beltran	-39.316669	-65.76667
Villarrica	-39.28569	-72.227898
Pucon	-39.28223	-71.954269
Choele Choel	-39.26667	-65.683327
Alumine	-39.236858	-70.919701
Chimpay	-39.164822	-66.142357
Chichinales	-39.115051	-66.927139
Villa Regina	-39.099998	-67.066673
Ingeniero Luis A. Huergo	-39.083328	-67.23333
General Enrique Godoy	-39.083328	-67.150002
Mainque	-39.066669	-67.300003
New Plymouth	-39.066669	174.083328
Cervantes	-39.049999	-67.383331
General Roca	-39.033329	-67.583328
Wairoa	-39.033329	177.366669
Senillosa	-39.0	-68.416672
Turangi	-39.0	175.933334
Pitrufquen	-38.98333	-72.650002
Allen	-38.97736	-67.827141
Plottier	-38.966671	-68.23333
General Fernandez Oro	-38.952969	-67.924889
Neuquen	-38.951611	-68.059097
Freire	-38.950001	-72.633331
Cutral-Co	-38.94688	-69.208893
Cipolletti	-38.933922	-67.990318
Plaza Huincul	-38.92598	-69.208633
Waitara	-38.924999	174.25
Zapala	-38.899158	-70.05442
Punta Alta	-38.875881	-62.073589
Cinco Saltos	-38.822239	-68.062927
Centenario	-38.804329	-68.139977
Mariano Moreno	-38.75029	-70.023666
Vista Alegre	-38.75	-68.183327
Temuco	-38.73333	-72.599998
Nueva Imperial	-38.73333	-72.949997
Contraalmirante Cordero	-38.724232	-68.15284
Bahia Blanca	-38.719601	-62.27243
Coronel Dorrego	-38.71867	-61.287319
Carahue	-38.700001	-73.166672
Taupo	-38.683331	176.083328
Gisborne	-38.653332	178.004166
Vilcun	-38.650002	-72.23333
North Wonthaggi	-38.599998	145.600006
Necochea	-38.54726	-58.736752
Las Lajas	-38.52322	-70.367439
Lautaro	-38.51667	-72.449997
Phillip Island	-38.48349	145.231018
Cowes	-38.450001	145.233337
Anglesea	-38.416672	144.166672
Warrnambool	-38.383331	142.483337
Tres Arroyos	-38.37394	-60.279781
Blairgowrie	-38.361309	144.779556
Colac	-38.333328	143.583328
Portland	-38.333328	141.600006
Hastings	-38.299999	145.183334
Traiguen	-38.25	-72.683327
Tokoroa	-38.23333	175.866669
Morwell	-38.23333	146.399994
Somerville	-38.216671	145.166672
Victoria	-38.216671	-72.333328
Mornington	-38.216671	145.033325
Traralgon	-38.183331	146.533325
Leopold	-38.183331	144.466675
Otorohanga	-38.183331	175.199997
Warragul	-38.166672	145.933334
Moe	-38.166672	146.266663
Clifton Springs	-38.150002	144.566666
Geelong	-38.14711	144.360687
Rotorua	-38.138741	176.245163
Geelong West	-38.133331	144.350006
Frankston East	-38.133331	145.133331
Sale	-38.099998	147.066666
Kawerau	-38.099998	176.699997
Cranbourne	-38.099998	145.283325
Jacinto Arauz	-38.08606	-63.43169
Opotiki	-38.083328	177.283325
Loncopue	-38.072842	-70.616089
Aspendale Gardens	-38.02277	145.117981
Lara	-38.01667	144.399994
Mar del Plata	-38.002281	-57.557541
Mordialloc	-38.0	145.083328
Beaconsfield Upper	-38.0	145.416672
Parkdale	-37.994228	145.073395
Dingley Village	-37.9827	145.134201
Heyfield	-37.9813	146.785583
General San Martin	-37.979038	-63.604488
Black Rock	-37.973572	145.016357
Whakatane	-37.958549	176.985443
Highett	-37.951672	145.039444
Collipulli	-37.950001	-72.433327
Hampton	-37.937229	145.004593
Hampton East	-37.936951	145.028625
Oakleigh South	-37.92416	145.091461
Bentleigh East	-37.920101	145.059875
Bentleigh	-37.9184	145.035843
Bentleigh	-37.91806	145.035446
Mulgrave	-37.916672	145.199997
North Brighton	-37.90694	145.00528
Notting Hill	-37.904999	145.1427
Brighton East	-37.901409	145.018845
Oakleigh East	-37.89904	145.105713
Caulfield South	-37.896729	145.027344
Murrumbeena	-37.890228	145.071121
Glen Huntly	-37.889488	145.046051
Carnegie	-37.888672	145.057129
Chadstone	-37.887661	145.095184
Ferntree Gully	-37.884609	145.295395
Elsternwick	-37.884411	145.004333
Hoppers Crossing	-37.882641	144.700302
Caulfield	-37.882511	145.022873
Elwood	-37.881699	144.983047
Lakes Entrance	-37.881149	147.981033
Catriel	-37.87907	-67.795601
Cambridge	-37.87822	175.440201
Malvern East	-37.87397	145.042526
Caulfield North	-37.872551	145.022614
Balaclava	-37.86916	144.997726
Saint Kilda	-37.867599	144.980988
Ashwood	-37.866589	145.10553
Ashburton	-37.862591	145.079361
Laverton	-37.862019	144.769791
St Kilda West	-37.860168	144.972198
Glen Iris	-37.859951	145.054886
Armadale	-37.855202	145.021759
Windsor	-37.854801	144.992676
Burwood	-37.849781	145.119003
Camberwell	-37.842049	145.069397
Toorak	-37.840771	145.009567
Blackburn South	-37.839748	145.155487
Forest Hill	-37.836559	145.165192
Mount Gambier	-37.833328	140.766663
Bairnsdale	-37.833328	147.616669
South Melbourne	-37.833328	144.966675
Box Hill South	-37.832359	145.120987
Surrey Hills	-37.825241	145.100388
Hawthorn East	-37.824841	145.046402
Canterbury	-37.824699	145.084763
Blackburn	-37.819012	145.153259
Box Hill	-37.818871	145.125443
Montrose	-37.816669	145.350006
East Melbourne	-37.816669	144.9879
Melbourne	-37.813999	144.963318
Matamata	-37.8106	175.762375
West Melbourne	-37.810139	144.949997
Blackburn North	-37.809311	145.151794
North Melbourne	-37.802891	144.948166
Box Hill North	-37.802662	145.126556
Mont Albert North	-37.80043	145.108276
Angol	-37.799999	-72.716667
Raglan	-37.799999	174.883331
Canete	-37.799999	-73.400002
Kew East	-37.797581	145.053787
Balwyn North	-37.790859	145.093857
Hamilton	-37.783329	175.283325
Veinticinco de Mayo	-37.774101	-67.716377
Brunswick	-37.76667	144.966675
Darch	-37.75	145.116669
St Albans	-37.744961	144.800491
Hamilton	-37.744251	142.022018
Caroline Springs	-37.741241	144.736313
Mulchen	-37.716671	-72.23333
Greensborough	-37.70462	145.103027
Brookfield	-37.700802	144.560257
Tauranga	-37.686111	176.166672
Melton	-37.683331	144.583328
Broadmeadows	-37.680149	144.918777
Melton West	-37.67852	144.568832
Kurunjang	-37.675869	144.596893
Bacchus Marsh	-37.67268	144.438293
Guatrache	-37.667759	-63.53022
Ngaruawahia	-37.667381	175.155533
Healesville	-37.650002	145.516663
Lebu	-37.616669	-73.650002
Craigieburn	-37.599998	144.949997
Millicent	-37.599998	140.350006
Delacombe	-37.589111	143.814713
Sebastopol	-37.58532	143.839523
Sunbury	-37.583328	144.733337
Golden Point	-37.574928	143.868698
Ballarat	-37.566219	143.849564
Ballarat Central	-37.562061	143.850815
